cpd00020	C00022	M00001 
cpd00061	C00074	M00001 
cpd00072	C00085	M00001 
cpd00095	C00111	M00001 
cpd00102	C00118	M00001 
cpd00169	C00197	M00001 
cpd00203	C00236	M00001 
cpd00290	C00354	M00001 
cpd00482	C00631	M00001 
cpd19001	C00267	M00001 
cpd19006	C00668	M00001 
cpd00020	C00022	M00002 
cpd00061	C00074	M00002 
cpd00095	C00111	M00002 
cpd00102	C00118	M00002 
cpd00169	C00197	M00002 
cpd00203	C00236	M00002 
cpd00482	C00631	M00002 
cpd00032	C00036	M00003 
cpd00061	C00074	M00003 
cpd00072	C00085	M00003 
cpd00095	C00111	M00003 
cpd00102	C00118	M00003 
cpd00169	C00197	M00003 
cpd00203	C00236	M00003 
cpd00290	C00354	M00003 
cpd00482	C00631	M00003 
cpd00072	C00085	M00004 
cpd00101	C00117	M00004 
cpd00102	C00118	M00004 
cpd00171	C00199	M00004 
cpd00198	C00231	M00004 
cpd00236	C00279	M00004 
cpd00238	C05382	M00004 
cpd00284	C00345	M00004 
cpd00863	C01172	M00004 
cpd00911	C01236	M00004 
cpd19006	C00668	M00004 
cpd00101	C00117	M00005 
cpd00103	C00119	M00005 
cpd00171	C00199	M00006 
cpd00284	C00345	M00006 
cpd00863	C01172	M00006 
cpd00911	C01236	M00006 
cpd00072	C00085	M00007 
cpd00101	C00117	M00007 
cpd00102	C00118	M00007 
cpd00171	C00199	M00007 
cpd00198	C00231	M00007 
cpd00236	C00279	M00007 
cpd00238	C05382	M00007 
cpd00020	C00022	M00008 
cpd00102	C00118	M00008 
cpd00284	C00345	M00008 
cpd00863	C01172	M00008 
cpd00911	C01236	M00008 
cpd02711	C04442	M00008 
cpd00022	C00024	M00009 
cpd00024	C00026	M00009 
cpd00032	C00036	M00009 
cpd00036	C00042	M00009 
cpd00078	C00091	M00009 
cpd00106	C00122	M00009 
cpd00130	C00149	M00009 
cpd00137	C00158	M00009 
cpd00260	C00311	M00009 
cpd19171	C15972	M00009 
cpd19172	C15973	M00009 
cpd19179	C16254	M00009 
cpd00022	C00024	M00010 
cpd00024	C00026	M00010 
cpd00032	C00036	M00010 
cpd00137	C00158	M00010 
cpd00260	C00311	M00010 
cpd00024	C00026	M00011 
cpd00032	C00036	M00011 
cpd00036	C00042	M00011 
cpd00078	C00091	M00011 
cpd00106	C00122	M00011 
cpd00130	C00149	M00011 
cpd19171	C15972	M00011 
cpd19172	C15973	M00011 
cpd19179	C16254	M00011 
cpd00022	C00024	M00012 
cpd00032	C00036	M00012 
cpd00040	C00048	M00012 
cpd00130	C00149	M00012 
cpd00137	C00158	M00012 
cpd00260	C00311	M00012 
cpd00331	C00417	M00012 
cpd00022	C00024	M00013 
cpd00086	C00100	M00013 
cpd00191	C00222	M00013 
cpd00663	C00894	M00013 
cpd00745	C01013	M00013 
cpd03375	C05668	M00013 
cpd00026	C00029	M00014 
cpd00144	C00167	M00014 
cpd00164	C00191	M00014 
cpd00198	C00231	M00014 
cpd00259	C00310	M00014 
cpd00261	C00312	M00014 
cpd00306	C00379	M00014 
cpd00473	C00618	M00014 
cpd00594	C00800	M00014 
cpd00880	C05385	M00014 
cpd12241	C03033	M00014 
cpd00023	C00025	M00015 
cpd00064	C00077	M00015 
cpd00129	C00148	M00015 
cpd00858	C01165	M00015 
cpd02097	C03287	M00015 
cpd02431	C03912	M00015 
cpd00039	C00047	M00016 
cpd00041	C00049	M00016 
cpd00346	C00441	M00016 
cpd00504	C00666	M00016 
cpd00516	C00680	M00016 
cpd01977	C03082	M00016 
cpd02465	C03972	M00016 
cpd02698	C04421	M00016 
cpd02724	C04462	M00016 
cpd21488	C20258	M00016 
cpd00041	C00049	M00017 
cpd00060	C00073	M00017 
cpd00135	C00155	M00017 
cpd00227	C00263	M00017 
cpd00346	C00441	M00017 
cpd00822	C01118	M00017 
cpd01977	C03082	M00017 
cpd19019	C02291	M00017 
cpd00041	C00049	M00018 
cpd00161	C00188	M00018 
cpd00227	C00263	M00018 
cpd00346	C00441	M00018 
cpd00809	C01102	M00018 
cpd01977	C03082	M00018 
cpd00020	C00022	M00019 
cpd00094	C00109	M00019 
cpd00123	C00141	M00019 
cpd00156	C00183	M00019 
cpd00322	C00407	M00019 
cpd00508	C00671	M00019 
cpd02569	C04181	M00019 
cpd10162	C14463	M00019 
cpd19030	C04272	M00019 
cpd19047	C06010	M00019 
cpd00054	C00065	M00020 
cpd00169	C00197	M00020 
cpd00738	C01005	M00020 
cpd02069	C03232	M00020 
cpd00054	C00065	M00021 
cpd00084	C00097	M00021 
cpd00239	C00283	M00021 
cpd00722	C00979	M00021 
cpd24697	C00283	M00021 
cpd00061	C00074	M00022 
cpd00216	C00251	M00022 
cpd00236	C00279	M00022 
cpd00383	C00493	M00022 
cpd00699	C00944	M00022 
cpd00932	C01269	M00022 
cpd01716	C02637	M00022 
cpd02030	C03175	M00022 
cpd02857	C04691	M00022 
cpd00065	C00078	M00023 
cpd00093	C00108	M00023 
cpd00216	C00251	M00023 
cpd00956	C01302	M00023 
cpd02210	C03506	M00023 
cpd02642	C04302	M00023 
cpd00066	C00079	M00024 
cpd00143	C00166	M00024 
cpd00216	C00251	M00024 
cpd00219	C00254	M00024 
cpd00069	C00082	M00025 
cpd00216	C00251	M00025 
cpd00219	C00254	M00025 
cpd00868	C01179	M00025 
cpd00103	C00119	M00026 
cpd00119	C00135	M00026 
cpd00641	C00860	M00026 
cpd00807	C01100	M00026 
cpd00930	C01267	M00026 
cpd01324	C01929	M00026 
cpd01775	C02739	M00026 
cpd01777	C02741	M00026 
cpd02843	C04666	M00026 
cpd02979	C04896	M00026 
cpd02991	C04916	M00026 
cpd00023	C00025	M00027 
cpd00036	C00042	M00027 
cpd00199	C00232	M00027 
cpd00281	C00334	M00027 
cpd00023	C00025	M00028 
cpd00064	C00077	M00028 
cpd00342	C00437	M00028 
cpd00477	C00624	M00028 
cpd00918	C01250	M00028 
cpd02552	C04133	M00028 
cpd00013	C00014	M00029 
cpd00041	C00049	M00029 
cpd00051	C00062	M00029 
cpd00064	C00077	M00029 
cpd00073	C00086	M00029 
cpd00106	C00122	M00029 
cpd00146	C00169	M00029 
cpd00274	C00327	M00029 
cpd02152	C03406	M00029 
cpd19013	C00014	M00029 
cpd00022	C00024	M00030 
cpd00024	C00026	M00030 
cpd00039	C00047	M00030 
cpd00269	C00322	M00030 
cpd00351	C00449	M00030 
cpd00705	C00956	M00030 
cpd00919	C01251	M00030 
cpd01046	C04076	M00030 
cpd02483	C04002	M00030 
cpd03297	C05560	M00030 
cpd03372	C05662	M00030 
cpd12734	C05535	M00030 
cpd00039	C00047	M00031 
cpd00705	C00956	M00031 
cpd21126	C19886	M00031 
cpd21127	C19887	M00031 
cpd21128	C19888	M00031 
cpd21129	C19889	M00031 
cpd00039	C00047	M00032 
cpd00269	C00322	M00032 
cpd00279	C00332	M00032 
cpd00351	C00449	M00032 
cpd00413	C00527	M00032 
cpd00650	C00877	M00032 
cpd00705	C00956	M00032 
cpd00842	C01144	M00032 
cpd01046	C04076	M00032 
cpd16497	C06157	M00032 
cpd19171	C15972	M00032 
