"assignment","cluster","id","microbetag::cluster","name","selected","shared name","value"
"strong","0.0","JQ474121.1.1403","0","JQ474121.1.1403","false","JQ474121.1.1403","JQ474121.1.1403"
"strong","0.0","JQ466935.1.1306","0","JQ466935.1.1306","false","JQ466935.1.1306","JQ466935.1.1306"
"strong","1.0","JQ450225.1.1386","1","JQ450225.1.1386","false","JQ450225.1.1386","JQ450225.1.1386"
"strong","1.0","GU408873.1.1448","1","GU408873.1.1448","false","GU408873.1.1448","GU408873.1.1448"
"strong","0.0","JQ460168.1.1415","0","JQ460168.1.1415","false","JQ460168.1.1415","JQ460168.1.1415"
"strong","1.0","U13042.1.1434","1","U13042.1.1434","false","U13042.1.1434","U13042.1.1434"
"strong","1.0","JQ467851.1.1398","1","JQ467851.1.1398","false","JQ467851.1.1398","JQ467851.1.1398"
"strong","0.0","JQ478188.1.1371","0","JQ478188.1.1371","false","JQ478188.1.1371","JQ478188.1.1371"
"strong","0.0","JF149926.1.1376","0","JF149926.1.1376","false","JF149926.1.1376","JF149926.1.1376"
"strong","0.0","JQ469832.1.1404","0","JQ469832.1.1404","false","JQ469832.1.1404","JQ469832.1.1404"
"strong","1.0","JQ452621.1.1400","1","JQ452621.1.1400","false","JQ452621.1.1400","JQ452621.1.1400"
"strong","1.0","EU469019.1.1325","1","EU469019.1.1325","false","EU469019.1.1325","EU469019.1.1325"
"strong","0.0","JQ478073.1.1367","0","JQ478073.1.1367","false","JQ478073.1.1367","JQ478073.1.1367"
"strong","0.0","AEPD01000042.30.1432","0","AEPD01000042.30.1432","false","AEPD01000042.30.1432","AEPD01000042.30.1432"
"strong","0.0","JQ478287.1.1382","0","JQ478287.1.1382","false","JQ478287.1.1382","JQ478287.1.1382"
"strong","1.0","JQ456328.1.1355","1","JQ456328.1.1355","false","JQ456328.1.1355","JQ456328.1.1355"
"strong","1.0","JQ455199.1.1375","1","JQ455199.1.1375","false","JQ455199.1.1375","JQ455199.1.1375"
"strong","1.0","JF186219.1.1383","1","JF186219.1.1383","false","JF186219.1.1383","JF186219.1.1383"
"strong","1.0","JF127545.1.1357","1","JF127545.1.1357","false","JF127545.1.1357","JF127545.1.1357"
"strong","1.0","JF132957.1.1367","1","JF132957.1.1367","false","JF132957.1.1367","JF132957.1.1367"
"strong","1.0","KF280301.1.1435","1","KF280301.1.1435","false","KF280301.1.1435","KF280301.1.1435"
"strong","1.0","ADEB01000020.3877.5392","1","ADEB01000020.3877.5392","false","ADEB01000020.3877.5392","ADEB01000020.3877.5392"
"strong","1.0","JQ452108.1.1387","1","JQ452108.1.1387","false","JQ452108.1.1387","JQ452108.1.1387"
"strong","0.0","GQ448318.1.1256","0","GQ448318.1.1256","false","GQ448318.1.1256","GQ448318.1.1256"
"strong","1.0","AM420029.1.1474","1","AM420029.1.1474","false","AM420029.1.1474","AM420029.1.1474"
"strong","0.0","JQ654182.1.1494","0","JQ654182.1.1494","false","JQ654182.1.1494","JQ654182.1.1494"
"strong","1.0","JQ467367.1.1381","1","JQ467367.1.1381","false","JQ467367.1.1381","JQ467367.1.1381"
"strong","1.0","JQ452003.1.1406","1","JQ452003.1.1406","false","JQ452003.1.1406","JQ452003.1.1406"
"strong","0.0","HQ806783.1.1477","0","HQ806783.1.1477","false","HQ806783.1.1477","HQ806783.1.1477"
"strong","1.0","AY005083.1.1498","1","AY005083.1.1498","false","AY005083.1.1498","AY005083.1.1498"
"strong","1.0","AB036760.1.1411","1","AB036760.1.1411","false","AB036760.1.1411","AB036760.1.1411"
"strong","0.0","AF033304.1.1494","0","AF033304.1.1494","false","AF033304.1.1494","AF033304.1.1494"
"strong","0.0","GU227189.1.1463","0","GU227189.1.1463","false","GU227189.1.1463","GU227189.1.1463"
"strong","1.0","JF108306.1.1352","1","JF108306.1.1352","false","JF108306.1.1352","JF108306.1.1352"
"strong","0.0","AM420119.1.1497","0","AM420119.1.1497","false","AM420119.1.1497","AM420119.1.1497"
"strong","1.0","HE681370.1.1507","1","HE681370.1.1507","false","HE681370.1.1507","HE681370.1.1507"
"strong","1.0","DQ801233.1.1334","1","DQ801233.1.1334","false","DQ801233.1.1334","DQ801233.1.1334"
"strong","1.0","EU768024.1.1355","1","EU768024.1.1355","false","EU768024.1.1355","EU768024.1.1355"
"strong","1.0","EF398285.1.1490","1","EF398285.1.1490","false","EF398285.1.1490","EF398285.1.1490"
"strong","0.0","JQ460156.1.1404","0","JQ460156.1.1404","false","JQ460156.1.1404","JQ460156.1.1404"
"strong","1.0","JQ452486.1.1386","1","JQ452486.1.1386","false","JQ452486.1.1386","JQ452486.1.1386"
"strong","0.0","JQ461591.1.1391","0","JQ461591.1.1391","false","JQ461591.1.1391","JQ461591.1.1391"
"strong","0.0","JQ475304.1.1382","0","JQ475304.1.1382","false","JQ475304.1.1382","JQ475304.1.1382"
"strong","1.0","JQ475416.1.1408","1","JQ475416.1.1408","false","JQ475416.1.1408","JQ475416.1.1408"
"strong","0.0","JQ457807.1.1393","0","JQ457807.1.1393","false","JQ457807.1.1393","JQ457807.1.1393"
"strong","1.0","FJ439568.1.1422","1","FJ439568.1.1422","false","FJ439568.1.1422","FJ439568.1.1422"
"strong","1.0","JF086990.1.1328","1","JF086990.1.1328","false","JF086990.1.1328","JF086990.1.1328"
"strong","0.0","JQ451660.1.1399","0","JQ451660.1.1399","false","JQ451660.1.1399","JQ451660.1.1399"
"strong","1.0","JQ467966.1.1385","1","JQ467966.1.1385","false","JQ467966.1.1385","JQ467966.1.1385"
"strong","1.0","JQ451920.1.1402","1","JQ451920.1.1402","false","JQ451920.1.1402","JQ451920.1.1402"
"strong","1.0","AY349364.1.1544","1","AY349364.1.1544","false","AY349364.1.1544","AY349364.1.1544"
"strong","0.0","JQ452070.1.1379","0","JQ452070.1.1379","false","JQ452070.1.1379","JQ452070.1.1379"
"strong","1.0","JQ451240.1.1400","1","JQ451240.1.1400","false","JQ451240.1.1400","JQ451240.1.1400"
"strong","0.0","JQ468459.1.1379","0","JQ468459.1.1379","false","JQ468459.1.1379","JQ468459.1.1379"
"strong","1.0","JQ474179.1.1395","1","JQ474179.1.1395","false","JQ474179.1.1395","JQ474179.1.1395"
"strong","1.0","JQ466105.1.1298","1","JQ466105.1.1298","false","JQ466105.1.1298","JQ466105.1.1298"
"strong","1.0","JQ463503.1.1282","1","JQ463503.1.1282","false","JQ463503.1.1282","JQ463503.1.1282"
"strong","0.0","JQ469407.1.1398","0","JQ469407.1.1398","false","JQ469407.1.1398","JQ469407.1.1398"
"strong","0.0","JQ456298.1.1367","0","JQ456298.1.1367","false","JQ456298.1.1367","JQ456298.1.1367"
"strong","1.0","JQ478184.1.1385","1","JQ478184.1.1385","false","JQ478184.1.1385","JQ478184.1.1385"
"strong","1.0","JQ455397.1.1377","1","JQ455397.1.1377","false","JQ455397.1.1377","JQ455397.1.1377"
"strong","1.0","HQ804831.1.1450","1","HQ804831.1.1450","false","HQ804831.1.1450","HQ804831.1.1450"
"strong","0.0","JQ475410.1.1323","0","JQ475410.1.1323","false","JQ475410.1.1323","JQ475410.1.1323"
"strong","0.0","FJ504697.1.1416","0","FJ504697.1.1416","false","FJ504697.1.1416","FJ504697.1.1416"
"strong","1.0","AM697254.1.1510","1","AM697254.1.1510","false","AM697254.1.1510","AM697254.1.1510"
"strong","0.0","JQ468223.1.1406","0","JQ468223.1.1406","false","JQ468223.1.1406","JQ468223.1.1406"
"strong","0.0","FJ470499.1.1498","0","FJ470499.1.1498","false","FJ470499.1.1498","FJ470499.1.1498"
"strong","1.0","JQ475326.1.1400","1","JQ475326.1.1400","false","JQ475326.1.1400","JQ475326.1.1400"
"strong","1.0","JQ456388.1.1325","1","JQ456388.1.1325","false","JQ456388.1.1325","JQ456388.1.1325"
"strong","1.0","JQ467330.1.1363","1","JQ467330.1.1363","false","JQ467330.1.1363","JQ467330.1.1363"
"strong","0.0","JQ467052.1.1380","0","JQ467052.1.1380","false","JQ467052.1.1380","JQ467052.1.1380"
"strong","1.0","JF136468.1.1355","1","JF136468.1.1355","false","JF136468.1.1355","JF136468.1.1355"
"strong","0.0","JQ454383.1.1388","0","JQ454383.1.1388","false","JQ454383.1.1388","JQ454383.1.1388"
"strong","1.0","JF127716.1.1365","1","JF127716.1.1365","false","JF127716.1.1365","JF127716.1.1365"
"strong","1.0","JF188434.1.1345","1","JF188434.1.1345","false","JF188434.1.1345","JF188434.1.1345"
"strong","1.0","GU561319.1.1432","1","GU561319.1.1432","false","GU561319.1.1432","GU561319.1.1432"
"strong","0.0","JQ467876.1.1406","0","JQ467876.1.1406","false","JQ467876.1.1406","JQ467876.1.1406"
"strong","1.0","JQ461210.1.1422","1","JQ461210.1.1422","false","JQ461210.1.1422","JQ461210.1.1422"
"strong","0.0","JQ453436.1.1239","0","JQ453436.1.1239","false","JQ453436.1.1239","JQ453436.1.1239"
"strong","0.0","JQ476896.1.1333","0","JQ476896.1.1333","false","JQ476896.1.1333","JQ476896.1.1333"
"strong","1.0","JF149168.1.1332","1","JF149168.1.1332","false","JF149168.1.1332","JF149168.1.1332"
"strong","0.0","JQ472047.1.1396","0","JQ472047.1.1396","false","JQ472047.1.1396","JQ472047.1.1396"
"strong","0.0","JQ452595.1.1426","0","JQ452595.1.1426","false","JQ452595.1.1426","JQ452595.1.1426"
"strong","1.0","DQ326384.1.1351","1","DQ326384.1.1351","false","DQ326384.1.1351","DQ326384.1.1351"
"strong","1.0","HQ766831.1.1428","1","HQ766831.1.1428","false","HQ766831.1.1428","HQ766831.1.1428"
"strong","1.0","JF075243.1.1368","1","JF075243.1.1368","false","JF075243.1.1368","JF075243.1.1368"
"strong","1.0","JF231386.1.1369","1","JF231386.1.1369","false","JF231386.1.1369","JF231386.1.1369"
"strong","1.0","JQ467959.1.1393","1","JQ467959.1.1393","false","JQ467959.1.1393","JQ467959.1.1393"
"strong","0.0","JQ452451.1.1380","0","JQ452451.1.1380","false","JQ452451.1.1380","JQ452451.1.1380"
"strong","0.0","FJ823150.1.1405","0","FJ823150.1.1405","false","FJ823150.1.1405","FJ823150.1.1405"
"strong","1.0","GU432150.1.1204","1","GU432150.1.1204","false","GU432150.1.1204","GU432150.1.1204"
"strong","1.0","JQ467834.1.1286","1","JQ467834.1.1286","false","JQ467834.1.1286","JQ467834.1.1286"
"strong","1.0","JF229576.1.1371","1","JF229576.1.1371","false","JF229576.1.1371","JF229576.1.1371"
"strong","1.0","KF271073.1.1485","1","KF271073.1.1485","false","KF271073.1.1485","KF271073.1.1485"
"strong","0.0","FJ976344.1.1358","0","FJ976344.1.1358","false","FJ976344.1.1358","FJ976344.1.1358"
"strong","1.0","JQ475392.1.1373","1","JQ475392.1.1373","false","JQ475392.1.1373","JQ475392.1.1373"
"strong","1.0","GU227220.1.1446","1","GU227220.1.1446","false","GU227220.1.1446","GU227220.1.1446"
"strong","1.0","FJ470443.1.1460","1","FJ470443.1.1460","false","FJ470443.1.1460","FJ470443.1.1460"
