Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloplanus;,376170
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloquadratum;,293431
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubellus;,1269048
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorubrum;,56688
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halorussus;,1070314
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halostagnicola;,353799
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloterrigena;,121871
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovenus;,1377992
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halovivax;,332951
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba;,63742
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrinema;,88723
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronoarchaeum;,926359
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronobacterium;,2256
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronococcus;,29287
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronolimnobius;,253106
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natronorubrum;,134813
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Salinarchaeum;,1269201
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Salinigranum;,1644057
Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Saliphagus;,2039236
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Candidatus Halobonum;,1431544
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halapricum;,1542963
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Haloarcula;,2237
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomarina;,871740
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicroarcula;,1427149
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;,203135
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;,146825
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorientalis;,1073987
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halosiccatus;,1763447
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halosimplex;,171163
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Natronomonas;,63743
Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Salinirubrum;,1644062
Archaea;Halobacterota;Methanocellia;Methanocellales;Methanocellaceae;Methanocella;,570266
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocalculus;,71151
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;,2192
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoculleus;,45989
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanofollis;,81416
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanogenium;,2195
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanolacinia;,230355
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanomicrobium;,2204
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanomicrobiaceae;Methanoplanus;,2314
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanolinea;,499551
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanoregula;,395331
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanoregulaceae;Methanosphaerula;,475087
Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;,2202
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanoperedenaceae;Candidatus Methanoperedens;,1392997
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosaetaceae;Methanosaeta;,2222
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanimicrococcus;,91559
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanococcoides;,2225
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanohalobium;,2321
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanohalophilus;,2175
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanolobus;,2220
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanomethylovorans;,101191
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanosarcina;,2207
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methermicoccaceae;Methermicoccus;,660063
Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Syntrophoarchaeaceae;Candidatus Syntrophoarchaeum;,1912923
Archaea;Korarchaeota;Korarchaeia;Korarchaeales;Korarchaeaceae;Candidatus Korarchaeum;,498845
Archaea;Nanoarchaeota;Nanoarchaeia;Nanoarchaeales;Nanoarchaeaceae;Nanoarchaeum;,193568
Archaea;Nanoarchaeota;Nanoarchaeia;Nanoarchaeales;Nanopusillaceae;Candidatus Nanobsidianus;,1996557
Archaea;Nanoarchaeota;Nanoarchaeia;Nanoarchaeales;Nanopusillaceae;Candidatus Nanopusillus;,1890407
Archaea;Nanohaloarchaeota;Nanosalinia;Nanosalinales;Nanosalinaceae;Candidatus Haloredivivus;,1117720
Archaea;Nanohaloarchaeota;Nanosalinia;Nanosalinales;Nanosalinaceae;Candidatus Nanosalinarum;,1051667
Archaea;Thermoplasmatota;Thermoplasmata;Acidiprofundales;Aciduliprofundaceae;Aciduliprofundum;,379546
Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomassiliicoccaceae;Methanomassiliicoccus;,1080709
Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanogranum;,1577789
Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanomethylophilus;,1291539
Archaea;Thermoplasmatota;Thermoplasmata;Methanomassiliicoccales;Methanomethylophilaceae;Candidatus Methanoplasma;,1607807
Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Acidiplasma;,507753
Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Ferroplasmaceae;Ferroplasma;,74968
Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Cuniculiplasma;,1747777
Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Thermoplasmataceae;Thermoplasma;,2302
Bacteria;Abditibacteriota;Abditibacteria;Abditibacteriales;Abditibacteriaceae;Abditibacterium;,2109263
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Acidicapsa;,1078830
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Acidobacterium;,33973
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Bryocella;,1078860
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Edaphobacter;,388463
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Granulicella;,940557
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Occallatibacter;,1742983
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Telmatobacter;,1078829
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terracidiphilus;,1768185
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Acidobacteriaceae (Subgroup 1);Terriglobus;,392733
Bacteria;Acidobacteriota;Acidobacteriae;Acidobacteriales;Koribacteraceae;Candidatus Koribacter;,658061
Bacteria;Acidobacteriota;Acidobacteriae;Bryobacterales;Bryobacteraceae;Bryobacter;,911113
Bacteria;Acidobacteriota;Acidobacteriae;Solibacterales;Solibacteraceae;Candidatus Solibacter;,332162
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Aridibacter;,1562564
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Blastocatella;,1281902
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Stenotrophobacter;,1748767
Bacteria;Acidobacteriota;Blastocatellia;Blastocatellales;Blastocatellaceae;Tellurimicrobium;,1748764
Bacteria;Acidobacteriota;Blastocatellia;Chloracidobacteriales;Chloracidobacteriaceae;Chloracidobacterium;,458032
Bacteria;Acidobacteriota;Blastocatellia;Pyrinomonadales;Pyrinomonadaceae;Pyrinomonas;,1562565
Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Acanthopleuribacter;,442869
Bacteria;Acidobacteriota;Holophagae;Acanthopleuribacterales;Acanthopleuribacteraceae;Thermotomaculum;,1172428
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Geothrix;,44675
Bacteria;Acidobacteriota;Holophagae;Holophagales;Holophagaceae;Holophaga;,35838
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Thermoanaerobaculum;,1434048
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Luteitalea;,2004797
Bacteria;Acidobacteriota;Vicinamibacteria;Vicinamibacterales;Vicinamibacteraceae;Vicinamibacter;,1847386
Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidimicrobium;,53634
Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Acidithrix;,1609233
Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrimicrobium;,121038
Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;Ferrithrix;,643949
Bacteria;Actinobacteriota;Acidimicrobiia;Acidimicrobiales;Acidimicrobiales Incertae Sedis;Aciditerrimonas;,1042325
Bacteria;Actinobacteriota;Acidimicrobiia;Actinomarinales;Actinomarinaceae;Candidatus Actinomarina;,1389453
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Iamiaceae;Iamia;,467975
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Ilumatobacteraceae;Ilumatobacter;,682522
Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Candidatus Microthrix;,41949
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;,1654
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinotignum;,1653174
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Arcanobacterium;,28263
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Flaviflexus;,1522056
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Mobiluncus;,2050
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Trueperella;,1069494
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Varibaculum;,184869
Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetales Incertae Sedis;Candidatus Ancillula;,1265508
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Aeriscardovia;,240233
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Alloscardovia;,419014
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;,1678
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bombiscardovia;,1159909
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;,2701
Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Pseudoscardovia;,1302778
Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Actinospicaceae;Actinospica;,414715
Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora;,414878
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;,1716
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Lawsonella;,1847725
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Turicella;,1716
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriales Incertae Sedis;Tomitella;,741759
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Dietziaceae;Dietzia;,37914
Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Hoyosella;,697025
