Synechocystis CCALA 700 aquatilis	543824
Synechocystis PCC-6803 minuscula	1521623
Synechocystis PCC-6803 pevalekii	1392622
Aetokthonos AEL04 hydrillicola	1550245
Anabaena PCC-7122 cf.	nan
Anabaena PCC-7122 cylindrica	1165
Anabaena PCC-7122 oscillarioides	1173
Ancylothrix 8PC rivularis	2023234
Ancylothrix 8PC terrestris	2023235
Aphanizomenon MDT14a flos-aquae	1176
Aphanizomenon NIES81 cf.	nan
Aphanizomenon NIES81 flos-aquae	1176
Aphanizomenon NIES81 gracile	54296
Calothrix PCC-6303 brevissima	938406
Calothrix PCC-6303 desertica	32056
Chlorogloeopsis PCC-7518 fritschii	1124
Cuspidothrix LMECYA 163 issatschenkoi	230752
Cylindrospermopsis CRJ1 curvispora	747548
Cylindrospermopsis CRJ1 raciborskii	77022
Cylindrospermum PCC-7417 alatosporum	765170
Cylindrospermum PCC-7417 catenatum	1382624
Cylindrospermum PCC-7417 stagnale	142864
Desmonostoc PCC-7422 danxiaense	2315796
Desmonostoc PCC-7422 muscorum	1179
Dolichospermum NIES41 affine	119677
Dolichospermum NIES41 circinale	109265
Dolichospermum NIES41 crassum	136074
Dolichospermum NIES41 ellipsoides	289437
Dolichospermum NIES41 flos-aquae	1166
Dolichospermum NIES41 planctonicum	136072
Dolichospermum NIES41 sigmoideum	264679
Dolichospermum NIES41 smithii	264682
Dolichospermum NIES41 solitarium	119678
Dolichospermum NIES41 spiroides	135104
Ewamiania TS0513 thermalis	1955496
Fischerella PCC-9339 ambigua	56108
Fischerella PCC-9339 major	210993
Fischerella PCC-9339 muscicola	92938
Fischerella PCC-9339 thermalis	372787
Fortiea PCC-7126 contorta	1892405
Gloeotrichia PYH6 echinulata	212360
Gloeotrichia PYH6 pisum	1968535
Gloeotrichia SAG 32.84 longicauda	1521617
Halotia CENA158 wernerae	1620818
Iphinoe LOS-B1 spelaeobios	988938
Mastigocladopsis PCC-10914 repens	221287
Mastigocoleus BC008 testarum	996925
Nodularia PCC-9350 cf.	nan
Nodularia PCC-9350 harveyana	114805
Nodularia PCC-9350 sphaerocarpa	137816
Nodularia PCC-9350 spumigena	70799
Nostoc BDU-40302 calcicola	nan
Nostoc PCC-7107 calcicola	212354
Nostoc PCC-7107 carneum	374162
Nostoc PCC-7107 ellipsosporum	45916
Nostoc PCC-7107 entophytum	211008
Nostoc PCC-7107 minutum	1841509
Nostoc PCC-7107 piscinale	224012
Nostoc PCC-7107 spongiaeforme	502487
Nostoc PCC-7107 verrucosum	633391
Nostoc PCC-73102 caeruleum	1521619
Nostoc PCC-73102 calcicola	212354
Nostoc PCC-73102 cf.	nan
Nostoc PCC-73102 commune	1178
Nostoc PCC-73102 edaphicum	264686
Nostoc PCC-73102 flagelliforme	1306274
Nostoc PCC-73102 linckia	92942
Nostoc PCC-73102 minutum	1841509
Nostoc PCC-73102 piscinale	224012
Nostoc PCC-73102 pruniforme	1521620
Nostoc PCC-73102 punctiforme	272131
Nostoc PCC-73102 sphaericum	217115
Nostoc PCC-73102 sphaeroides	446679
Nostoc PCC-7524 elgonense	442894
Nostoc PCC-7524 spongiaeforme	502487
Nostoc PCC-8976 calcicola	212354
Nostoc PCC-8976 carneum	374162
Nostoc PCC-8976 elgonense	442894
Nostoc PCC-8976 entophytum	211008
Nostoc SAG 60.79 microscopicum	765174
Nostoc SAG 60.79 punctiforme	272131
Phyllonema CENA325 aviceniicola	1716610
Richelia HH01 intracellularis	1165094
Rivularia PCC-7116 atra	373994
Scytonema PCC-7110 cf.	128403
Scytonema PCC-7110 hofmannii	34078
Scytonema UCFS19 cf.	nan
Scytonema UTEX 2349 hofmanni	34078
Scytonema VB-61278 cf.	nan
Scytonema VB-61278 tolypothrichoides	1233230
Sphaerospermopsis BCCUSP55 aphanizomenoides	459663
Sphaerospermopsis BCCUSP55 eucompacta	929836
Sphaerospermopsis BCCUSP55 kisseleviana	289435
Stigonema SAG 48.90 anomalum	1729762
Stigonema SAG 48.90 dinghuense	1705619
Stigonema SAG 48.90 elegans	1729757
Stigonema SAG 48.90 hormoides	1547880
Stigonema SAG 48.90 informe	1547877
Stigonema SAG 48.90 lechangense	1845108
Stigonema SAG 48.90 ocellatum	221293
Stigonema SAG 48.90 panniforme	1547879
Oscillatoria PCC-10802 duplisecta	402878
Oscillatoria PCC-10802 kawamurae	432294
Oscillatoria PCC-10802 princeps	132603
Oscillatoria PCC-6304 acuminata	118323
Oxynema BDU 92071 thaianum	1492711
Planktothricoides SR001 raciborskii	132608
Halospirulina CCC Baja-95 Cl.2 tapeticola	123239
Spirulina P7 subsalsa	54311
Spirulina PCC-6313 major	270636
Spirulina PCC-6313 subsalsa	54311
Spirulina PCC-9445 subsalsa	54311
Aerosakkonema Lao26 funiforme	1123710
Arthrospira PCC-7345 platensis	118562
Cephalothrix SAG 75.79 komarekiana	1844524
Cephalothrix SAG 75.79 lacustris	1844525
Kamptonema PCC-6407 animale	92934
Kamptonema PCC-6407 formosum	331992
Lyngbya PCC-7419 aestuarii	118322
Lyngbya PCC-7419 majuscula	158786
Phormidium IAM M-71 ambiguum	71191
Phormidium IAM M-71 irriguum	529923
Planktothrix NIVA-CYA 15 agardhii	1160
Planktothrix NIVA-CYA 15 mougeotii	54306
Planktothrix NIVA-CYA 15 paucivesiculata	1678308
Planktothrix NIVA-CYA 15 pseudagardhii	132604
Planktothrix NIVA-CYA 15 rubescens	59512
Planktothrix NIVA-CYA 15 serta	1678310
Planktothrix NIVA-CYA 15 spiroides	1354360
Planktothrix NIVA-CYA 15 tepida	1678309
Trichocoleus SAG 26.92 sociatus	450527
Trichodesmium IMS101 contortum	64179
Trichodesmium IMS101 erythraeum	1206
Trichodesmium IMS101 tenue	64180
Trichodesmium IMS101 thiebautii	1208
Tychonema CCAP 1459-11B bourrellyi	54313
Tychonema CCAP 1459-11B tenue	765262
Prochloron P1-Palau didemni	910450
Dactylococcopsis PCC-8305 salina	292566
Rubidibacter KORDI 51-2 lacunae	582514
Gloeocapsopsis BDHKU 35101 crepidinum	693223
Pleurocapsa PCC-7319 minor	54308
Stanieria PCC-7437 cyanosphaera	102116
Gloeobacter PCC-7421 kilaueensis	1416614
Gloeobacter PCC-7421 violaceus	33072
Alkalinema CENA528 pantanalense	1620705
Arthronema SAG 12.89 africanum	241438
Chamaesiphon PCC-7430 investiens	1205916
Chamaesiphon PCC-7430 polonicus	1519455
Chamaesiphon PCC-7430 subglobosus	217162
Leptolyngbya Es-Yyy1000 cf.	1352617
Leptolyngbya PCC-6306 boryana	1184
Leptolyngbya PCC-6306 cf.	nan
Limnolyngbya CHAB4449 circumcreta	1737904
Phormidesmis ANT.L52.6 priestleyi	268141
Scytolyngbya XSP1 timoleontis	1706227
Leptolyngbya EcFYyyy-00 scottii	1346802
Leptolyngbya LEGE-06070 tenuis	882062
Pseudanabaena NgrPSln22 lonchoides	1578115
Nodosilinea PCC-7104 bijugata	264745
Nodosilinea PCC-7104 cf.	nan
Nodosilinea PCC-7104 nodulosa	416001
Phormidesmis ANT.LACV5.1 priestleyi	268141
Pseudanabaena PCC-7367 catenata	1205931
Pseudanabaena PCC-7367 cf.	nan
Pseudanabaena PCC-7429 biceps	927669
Pseudanabaena PCC-7429 catenata	1205931
Pseudanabaena PCC-7429 cf.	nan
Pseudanabaena PCC-7429 foetida	1912600
Pseudanabaena PCC-7429 galeata	1112103
Pseudanabaena PCC-7429 limnetica	54310
Pseudanabaena PCC-7429 minima	890415
Pseudanabaena PCC-7429 mucicola	71190
Cyanobium PCC-6307 gracile	59930
Prochlorococcus MIT9313 marinus	nan
[Synechococcus] spongiarum group spongiarum	nan
Prochlorothrix PCC-9006 hollandica	1223
Prochlorothrix PCC-9006 scandica	142979
Microcystis NIES42 elabens	44824
Microcystis NIES42 holsatica	44825
Synechococcus PCC-7942 elongatus	32046
Schizothrix LEGE 07164 aff.	nan
Acaryochloris MBIC11017 marina	155978
Loriellopsis LF-B5 cavernicola	nan
Thermosynechococcus BP-1 elongatus	146786
Desulfobacterium autotrophicum	2296
[Desulfobacterium] catecholicum group catecholicum	90729
Desulfovibrio cf.	nan
