Flavonifractor sp900549795	2763053
Salinihabitans flavidus	569882
Marinimicrobium koreense	306545
Nocardioides terrigena	424797
PUOA01 sp003567395	2743469
Salinarimonas ramus	690164
Paraclostridium bifermentans	1490
Salisediminibacterium selenitireducens	439292
Streptomyces fructofermentans	152141
Marinobacter pelagius_A	379482
Luteimonas_B sp011320095	1104775
Marvinbryantia sp900066075	2293831
Pseudomonas_E synxantha_A	96901
Streptomyces achromogenes	67256
Nostoc linckia	1628743
Brevibacterium sp001815905	1581130
Leeuwenhoekiella aestuarii	2249426
Acinetobacter pullicarnis	2576829
Pararhizobium sp003217095	2135647
Formosa agariphila	1347342
F1-120-MAGs023 sp005773635	1883427
Allorhizobium vitis_E	373
Acidobacterium_A sp014274465	2763107
Mycobacterium sp001499965	1772283
Pseudoduganella dura	321982
Zestosphaera sp011375725	2184738
Pseudolabrys sp003367195	2292256
Rhodobacter_C vinaykumarii	407234
Arthrobacter_D agilis	37921
Raoultella ornithinolytica	1349784
Amycolatopsis circi	871959
Staphylococcus rostri	522262
CADEEZ01 sp902826485	86473
Pseudobdellovibrio exovorus	1184267
Hydrogenophaga flava	1349752
Neisseria sp000090875	641149
Tenacibaculum sp014062345	2759527
UBA4080 sp002381865	1950874
Wenxinia marina	1123501
Streptococcus constellatus_A	76860
Pseudochrobactrum sp900470285	1909294
Pelagibacter sp902583075	1667051
Microcystis panniformis	449468
Lawsonibacter sp900066645	1898207
Mycobacterium gadium	1794
Pirellula_B sp001610875	1632865
Aquisalimonas sp007126095	1872621
Streptomyces longwoodensis	68231
Nitrospira_A sp003456605	330214
BOG-234 sp903925015	2569093
Endomicrobium_A trichonymphae	1408204
Dyella_A sp002279065	1970613
Pyrobaculum aerophilum	178306
CAG-95 sp009917455	2320887
Listeria sp902806445	1844999
Shewanella sp009663145	1419739
Demequina mangrovi	1043493
Bordetella_B sp007679965	463040
Prevotella sp900315035	159272
Halomonas subterranea	416874
Flavilitoribacter nigricans	1122177
GCA-2686265 sp002686265	2026780
Lysobacter concretionis	1122185
Neptuniibacter marinus	1806670
Prevotella sp902771785	370804
Nocardia harenae	1210074
Pla111 sp007745835	2527998
Blattabacterium cuenoti_Y	1653831
Spiroplasma_A corruscae	216934
Leptonema illini	929563
Corynebacterium sp001764565	2736603
Rariglobus hedericola	2597822
Phocaeicola sp900544675	162156
Roseovarius nanhaiticus	573024
Draconibacterium sp010586825	2697469
Hirschia sp002709235	2024835
Rhodoglobus sp903920435	152507
Methanocalculus sp002496395	1915629
Flavobacterium sp009926065	1871037
Mycobacterium sp001667505	1834117
Actinokineospora alba	504798
Aliarcobacter cloacae	1054034
Gloeomargarita lithophora	1188229
Rhodoferax sp002943465	2094194
Actinokineospora sp009745975	2654637
UBA8904 sp009668925	2026735
Cohnella candidum	2674991
Nitrincola sp008727795	2614693
Mycobacterium gilvum	1804
Cryobacterium sp004403985	1259164
Collinsella sp900752545	165190
Thermomonospora echinospora	1992
Mariprofundus aestuarium	1921086
Labilibaculum antarcticum	1717717
UBA1140 sp902727895	269237
Microbacterium sp001427145	1736478
Mucilaginibacter sp903891475	797541
Terricaulis sp001464425	1752192
Leucobacter celer	1461260
Bordetella_C sp002119725	1416803
UBA12170 sp013166655	2735916
Nocardioides sp902805925	198441
Streptococcus cristatus_A	45634
Sphingobacterium griseoflavum	1474952
Arthrobacter_A alpinus	656366
Mycobacterium arosiense	1265311
Amylibacter sp009184395	2652722
JABDFW01 sp903882935	1765022
Streptomyces fragilis	67301
Roseomonas aestuarii	568898
Paenibacillus_A sp003994465	2496267
Stackebrandtia albiflava	406432
Anaeromyxobacter dehalogenans_B	290397
Haloferax mucosum	662479
Streptococcus penaeicida	1765960
Mycobacterium kubicae	120959
Treponema_D sp902778325	201186
Stenotrophomonas maltophilia_AP	2691571
Actinokineospora sp900070365	1653480
Polaribacter reichenbachii	996801
Litorivivens lipolytica	1524264
Williamsoniiplasma freundtii	74700
Streptomyces sp001280125	1519497
Duganella sp009857445	2692175
Thermodesulfobacterium geofontis_C	1295609
Capnocytophaga canimorsus	28188
Mycobacterium intermedium	28445
Limnohabitans sp002282445	1970500
JABMNI01 sp013204605	2053306
Pseudomonas_E mendocina	300
Hymenobacter gelipurpurascens	89968
Limnobacter sp001601825	1813033
Salinivirga cyanobacteriivorans	1307839
Enterococcus_C canintestini	317010
Cysteiniphilum sp008711525	2610891
Kribbella shirazensis	1105143
Streptomyces sp011045025	1775131
YD12-FULL-61-37 sp001801995	1798308
Idiomarina abyssalis	86102
Polaribacter sp002163835	754397
Photorhabdus khanii	1004151
Glaciimonas sp003056055	2133943
Collimonas sp900112135	1801619
JAADGF01 sp013152545	1913989
Thiomonas bhubaneswarensis	339866
Crateriforma sp007860215	2528031
28L sp002892445	699193
Lacunisphaera limnophila	1838286
Sphingopyxis sp002841175	2013663
Xenorhabdus ishibashii	1034471
Prevotella albensis	1122978
Vibrio sp002873395	1880855
Azoarcus_D taiwanensis	666964
Brachyspira suanatina	381802
Marinomonas hwangdonensis	1053647
Salinicoccus sediminis	1432562
Streptomyces yokosukanensis	67386
Protaetiibacter sp003852775	1873462
Dyella sp003332825	2202154
Liquorilactobacillus vini	1133569
Streptobacillus felis	1384509
QFOP01 sp003248785	2024827
Halomonas huangheensis	1178482
Phaeobacter porticola	1844006
UBA4871 sp002399445	1952342
Marinithermofilum abyssi	1571185
Ferruginibacter sp903878475	152509
CAIXEA01 sp903877125	169975
Aquimarina agarilytica	620914
CAIVAT01 sp903845055	194843
Mycetocola_A manganoxydans	699879
Halobacillus kuroshimensis	1121938
Blastococcus litoris	2171622
Knoellia sinensis	1385520
Prochlorococcus sp000760215	1499500
Zoogloea sp009026175	49181
Thauera linaloolentis	1123367
Acinetobacter sp003987695	472
Paenibacillus sp013359945	2744309
Flexistipes sinusarabici	717231
Xanthomonas perforans	442694
Streptomyces sp001905665	1703940
Staphylococcus nepalensis	214473
Herbaspirillum aquaticum	568783
Pricia antarctica	641691
Micromonospora chokoriensis_B	356851
Janibacter limosus	1216970
Bacillus_H miscanthi	2598861
Paracoccus sp009711265	2675751
JACESU01 sp013911655	1913988
Galactobacter caseinivorans	2676123
NCCP-1664 sp008580665	1682741
Dokdonia sp000355805	1239415
Variovorax sp014303735	2762323
Bacillus_BF oleivorans	1448271
Streptococcus parasanguinis_D	1318
Brevundimonas sp004683885	2561924
Burkholderia cenocepacia_B	95486
Diaphorobacter_A ruginosibacter	1715720
Nocardioides terrae	574651
Kangiella sp013373015	2026751
Ga0077554 sp001464585	1752215
Streptomyces capillispiralis	68182
Lelliottia jeotgali	1907578
Synergistes jonesii	2754
KS41 sp903859415	181674
Edaphocola chishuiensis	1434707
Collinsella sp900541785	165190
Bacteroides sp003545565	2292285
Salsuginibacillus kocurii	1123239
Dyella sp002878475	1528744
Cohnella sp003628305	2419778
Streptomyces wedmorensis	43759
Gelidibacter sp014062315	2761487
Glutamicibacter creatinolyticus	162496
CAILMK01 sp903829945	77133
UBA1213 sp902785555	165186
Pseudomonas_E sp001427125	1736561
Pseudomonas_E sp004124275	2073078
Massilia sp004614195	2562153
Mycobacterium triplex	47839
Robertmurraya sp009917645	2320880
Achromobacter sp900156745	1881016
Chitinilyticum aquatile	1121275
Methanofollis ethanolicus	488124
Staphylococcus capitis	72758
Chelativorans multitrophicus	449973
UBA2882 sp900542015	297314
Brevibacterium casei	1255625
Aquimarina agarivorans	980584
Haloarcula salina	1429914
Moraxella cuniculi	1122245
Halomonas sp003336675	2282305
Pseudomonas_E fluorescens_AQ	1042209
Dolichospermum sp900299285	46231
Rhizobium sophoriradicis	1535245
Paraburkholderia caffeinitolerans	1723730
RBG-16-49-21 sp001829495	1802195
Stenotrophomonas maltophilia_N	40324
UBA6669 sp903862595	333967
Flaviramulus_A sp009498295	2529032
Sphingomonas_G sp009739515	2681549
Sphingomicrobium sp003970925	2315330
Rhizobium sp000282035	1144312
Thiodictyon sp903828115	1846217
Arthrobacter_I sp000876655	1610703
Chryseobacterium elymi	395936
DTU008 sp002504525	1915534
AD8-1 sp001273385	1685126
Streptococcus respiraculi	2021971
Slackia_A equolifaciens	498718
Halorussus sp004765795	2505976
RUG11200 sp902766825	297314
Mesobacillus subterraneus	285983
Flavobacterium frigidimaris	262320
Idiomarina sp002685255	1898113
Campylobacter_A concisus_M	199
Escherichia sp005843885	2044467
Cereibacter_A johrii	445629
Pseudonocardia sp001725415	1660132
Methylobacterium rhodinum	29428
Streptococcus oralis_V	1303
Echinicola vietnamensis	926556
Rhodopila sp903944925	310091
