bin_156	bin_95	0.3742
bin_55	bin_137	0.3745
bin_112	bin_56	0.375
bin_38	bin_92	0.375
bin_48	bin_156	0.375
bin_261	bin_92	0.3751
bin_241	bin_222	0.3755
bin_206	bin_101	0.3758
bin_206	bin_218	0.3759
bin_233	bin_180	0.3759
bin_221	bin_179	0.376
bin_51	bin_54	0.3764
bin_156	bin_228	0.377
bin_176	bin_273	0.3774
bin_184	bin_234	0.3776
bin_223	bin_219	0.3777
bin_116	bin_88	0.3781
bin_6	bin_59	0.3785
bin_215	bin_106	0.3791
bin_277	bin_170	0.3794
bin_20	bin_185	0.3801
bin_11	bin_242	0.3804
bin_88	bin_276	0.3805
bin_221	bin_204	0.3811
bin_6	bin_227	0.3811
bin_8	bin_227	0.3814
bin_94	bin_221	0.3821
bin_55	bin_227	0.3823
bin_24	bin_38	0.3824
bin_267	bin_274	0.3826
bin_206	bin_267	0.3827
bin_41	bin_106	0.3827
bin_221	bin_35	0.3834
bin_96	bin_170	0.3838
bin_137	bin_176	0.3844
bin_180	bin_274	0.3845
bin_218	bin_274	0.3845
bin_88	bin_112	0.3857
bin_130	bin_266	0.3858
bin_74	bin_39	0.3864
bin_48	bin_32	0.3865
bin_166	bin_165	0.3871
bin_88	bin_54	0.3872
bin_215	bin_20	0.3875
bin_168	bin_20	0.3885
bin_144	bin_83	0.3886
bin_266	bin_81	0.3886
bin_178	bin_276	0.389
bin_206	bin_233	0.389
bin_48	bin_222	0.3893
bin_101	bin_9	0.3899
bin_180	bin_144	0.3899
bin_184	bin_97	0.3907
bin_35	bin_277	0.3907
bin_180	bin_176	0.3917
bin_221	bin_43	0.3917
bin_233	bin_11	0.3917
bin_215	bin_255	0.3918
bin_55	bin_28	0.392
bin_23	bin_75	0.3923
bin_54	bin_262	0.3928
bin_11	bin_176	0.3931
bin_48	bin_113	0.3943
bin_187	bin_92	0.3944
bin_23	bin_273	0.3946
bin_168	bin_36	0.3952
bin_24	bin_28	0.3962
bin_182	bin_56	0.3965
bin_39	bin_276	0.3966
bin_179	bin_264	0.3969
bin_165	bin_269	0.3973
bin_179	bin_199	0.3974
bin_6	bin_125	0.3979
bin_113	bin_228	0.3984
bin_52	bin_95	0.3985
bin_206	bin_222	0.3992
bin_24	bin_243	0.3996
bin_176	bin_222	0.402
bin_204	bin_96	0.4023
bin_232	bin_56	0.4029
bin_184	bin_262	0.402999999999999
bin_41	bin_273	0.402999999999999
bin_233	bin_242	0.403999999999999
bin_50	bin_247	0.4044
bin_20	bin_223	0.4048
bin_218	bin_75	0.4051
bin_132	bin_63	0.4053
bin_112	bin_232	0.4056
bin_228	bin_106	0.4056
bin_221	bin_264	0.407
bin_221	bin_96	0.4072
bin_218	bin_16	0.4091
bin_74	bin_151	0.4092
bin_209	bin_274	0.4093
bin_48	bin_241	0.4095
bin_116	bin_54	0.4099
bin_24	bin_100	0.4099
bin_221	bin_107	0.4101
bin_179	bin_204	0.4102
bin_100	bin_165	0.4103
bin_54	bin_95	0.4104
bin_151	bin_53	0.4114
bin_54	bin_56	0.4116
bin_88	bin_182	0.4116
bin_206	bin_185	0.4119
bin_101	bin_267	0.4121
bin_277	bin_264	0.4138
bin_107	bin_96	0.4139
bin_215	bin_180	0.4139
bin_107	bin_277	0.414
bin_277	bin_199	0.4149
bin_24	bin_59	0.4155
bin_178	bin_39	0.4162
bin_112	bin_39	0.417
bin_41	bin_223	0.4177
bin_261	bin_221	0.4178
bin_261	bin_24	0.4179
bin_96	bin_199	0.4188
bin_176	bin_228	0.4192
bin_60	bin_184	0.4195
bin_38	bin_28	0.4198
