assignment,cluster,id,name,selected,shared name,taxonomy,value
strong,1,DQ808859.1.1280,Gemmiger_sp900540775,false,Gemmiger_sp900540775,Root;Bacteria;Firmicutes_A;Clostridia;Oscillospirales;Ruminococcaceae;Gemmiger;Gemmiger_sp900540775,DQ808859.1.1280
strong,1,AY207050.1.1452,unclassified_Prevotella,false,unclassified_Prevotella,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;unclassified_Prevotella,AY207050.1.1452
strong,1,JQ450631.1.1396,unclassified_Neisseria,false,unclassified_Neisseria,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;unclassified_Neisseria,JQ450631.1.1396
strong,1,JQ454765.1.1354,Nanosyncoccus_nanoralicus,false,Nanosyncoccus_nanoralicus,Root;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Nanosyncoccaceae;Nanosyncoccus;Nanosyncoccus_nanoralicus,JQ454765.1.1354
strong,1,JF151842.1.1344,unclassified_Actinomycetia,false,unclassified_Actinomycetia,Root;Bacteria;Actinobacteriota;Actinomycetia;unclassified_Actinomycetia,JF151842.1.1344
strong,1,AY188348.1.1545,Streptococcus_mutans,false,Streptococcus_mutans,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Streptococcus_mutans,AY188348.1.1545
strong,0,EU762705.1.1383,Dialister_invisus,false,Dialister_invisus,Root;Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Dialisteraceae;Dialister;Dialister_invisus,EU762705.1.1383
strong,1,JQ457812.1.1407,unclassified_Streptococcus,false,unclassified_Streptococcus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unclassified_Streptococcus,JQ457812.1.1407
strong,1,JQ472834.1.1394,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,JQ472834.1.1394
strong,0,ACZS01000106.131.1559,Prevotella_conceptionensis,false,Prevotella_conceptionensis,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_conceptionensis,ACZS01000106.131.1559
strong,1,JQ471117.1.1399,Neisseria_cinerea,false,Neisseria_cinerea,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;Neisseria_cinerea,JQ471117.1.1399
strong,0,JQ467789.1.1279,unclassified_Leptotrichia,false,unclassified_Leptotrichia,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;unclassified_Leptotrichia,JQ467789.1.1279
strong,1,JQ453458.1.1382,Rothia_dentocariosa,false,Rothia_dentocariosa,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;Rothia_dentocariosa,JQ453458.1.1382
strong,1,JQ465904.1.1391,Prevotella_oris,false,Prevotella_oris,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_oris,JQ465904.1.1391
strong,0,JQ467793.1.1389,unclassified_Fusobacterium,false,unclassified_Fusobacterium,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;unclassified_Fusobacterium,JQ467793.1.1389
strong,1,GU409549.1.1209,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,GU409549.1.1209
strong,0,FM997533.1.1446,unclassified_Centipeda,false,unclassified_Centipeda,Root;Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda;unclassified_Centipeda,FM997533.1.1446
strong,1,JX294354.1.1467,GN02-873_sp003260345,false,GN02-873_sp003260345,Root;Bacteria;Patescibacteria;JAEDAM01;BD1-5;UBA2023;GN02-873;GN02-873_sp003260345,JX294354.1.1467
strong,0,JQ468479.1.1415,unclassified_Streptococcus,false,unclassified_Streptococcus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unclassified_Streptococcus,JQ468479.1.1415
strong,1,AY974850.1.1358,Phocaeicola_vulgatus,false,Phocaeicola_vulgatus,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Phocaeicola;Phocaeicola_vulgatus,AY974850.1.1358
strong,1,EF154271.1.1419,unclassified_Pseudomonas_E,false,unclassified_Pseudomonas_E,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas_E;unclassified_Pseudomonas_E,EF154271.1.1419
strong,1,JQ467910.1.1405,unclassified_Porphyromonas,false,unclassified_Porphyromonas,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;unclassified_Porphyromonas,JQ467910.1.1405
strong,0,JQ654183.1.1495,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,JQ654183.1.1495
strong,1,HE681248.1.1520,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,HE681248.1.1520
strong,1,GU400587.1.1441,Oribacterium_sp000160135,false,Oribacterium_sp000160135,Root;Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Oribacterium;Oribacterium_sp000160135,GU400587.1.1441
strong,1,JQ469155.1.1380,Capnocytophaga_sp000192225,false,Capnocytophaga_sp000192225,Root;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_sp000192225,JQ469155.1.1380
strong,1,JQ478180.1.1372,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,JQ478180.1.1372
strong,1,AXUQ01000035.65.1481,Parvimonas_micra,false,Parvimonas_micra,Root;Bacteria;Firmicutes_A;Clostridia;Tissierellales;Peptoniphilaceae;Parvimonas;Parvimonas_micra,AXUQ01000035.65.1481
strong,0,HQ805158.1.1469,unclassified_Streptococcus,false,unclassified_Streptococcus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unclassified_Streptococcus,HQ805158.1.1469
strong,0,GQ030562.1.1369,unclassified_Streptococcus,false,unclassified_Streptococcus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unclassified_Streptococcus,GQ030562.1.1369
strong,0,JQ460155.1.1401,Prevotella_oulorum,false,Prevotella_oulorum,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_oulorum,JQ460155.1.1401
strong,0,JQ477578.1.1386,unclassified_Fusobacterium,false,unclassified_Fusobacterium,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;unclassified_Fusobacterium,JQ477578.1.1386
strong,1,FJ557325.1.1390,unclassified_Veillonella,false,unclassified_Veillonella,Root;Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;unclassified_Veillonella,FJ557325.1.1390
strong,1,JF151430.1.1347,unclassified_Streptobacillus,false,unclassified_Streptobacillus,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;unclassified_Streptobacillus,JF151430.1.1347
strong,1,DQ805884.1.1399,unclassified_Bacteroides,false,unclassified_Bacteroides,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unclassified_Bacteroides,DQ805884.1.1399
strong,0,JQ468030.1.1401,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,JQ468030.1.1401
strong,1,GQ047360.1.1358,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,GQ047360.1.1358
strong,1,FJ470511.1.1458,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,FJ470511.1.1458
strong,0,JQ452301.1.1384,unclassified_Rothia,false,unclassified_Rothia,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;unclassified_Rothia,JQ452301.1.1384
strong,1,FJ557307.1.1402,unclassified_Neisseria,false,unclassified_Neisseria,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;unclassified_Neisseria,FJ557307.1.1402
strong,1,AY134905.1.1504,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,AY134905.1.1504
strong,1,JF177519.1.1333,Leptotrichia_sp002240055,false,Leptotrichia_sp002240055,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia_sp002240055,JF177519.1.1333
strong,1,JQ467148.1.1286,unclassified_Prevotella,false,unclassified_Prevotella,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;unclassified_Prevotella,JQ467148.1.1286
strong,1,HM294535.1.1353,unclassified_Lachnoanaerobaculum,false,unclassified_Lachnoanaerobaculum,Root;Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;unclassified_Lachnoanaerobaculum,HM294535.1.1353
strong,1,FJ470471.1.1535,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,FJ470471.1.1535
strong,1,FJ470510.1.1487,unclassified_Root,false,unclassified_Root,Root;unclassified_Root,FJ470510.1.1487
strong,0,HE681362.1.1508,unclassified_Fusobacterium,false,unclassified_Fusobacterium,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;unclassified_Fusobacterium,HE681362.1.1508
strong,1,JQ477249.1.1397,unclassified_Fusobacterium,false,unclassified_Fusobacterium,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Fusobacteriaceae;Fusobacterium;unclassified_Fusobacterium,JQ477249.1.1397
strong,0,JQ456138.1.1363,JABCPE02_sp013333255,false,JABCPE02_sp013333255,Root;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;JABCPE02;JABCPE02_sp013333255,JQ456138.1.1363
strong,0,JQ452670.1.1361,unclassified_Capnocytophaga,false,unclassified_Capnocytophaga,Root;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;unclassified_Capnocytophaga,JQ452670.1.1361
strong,0,EF511181.1.1499,unclassified_Haemophilus_D,false,unclassified_Haemophilus_D,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Haemophilus_D;unclassified_Haemophilus_D,EF511181.1.1499
strong,1,JF175191.1.1373,unclassified_Bacilli,false,unclassified_Bacilli,Root;Bacteria;Firmicutes;Bacilli;unclassified_Bacilli,JF175191.1.1373
strong,1,DQ807372.1.1409,unclassified_Bacteroides,false,unclassified_Bacteroides,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;unclassified_Bacteroides,DQ807372.1.1409
strong,0,JQ474147.1.1380,Capnocytophaga_endodontalis,false,Capnocytophaga_endodontalis,Root;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_endodontalis,JQ474147.1.1380
strong,1,AF538861.1.1476,unclassified_Centipeda,false,unclassified_Centipeda,Root;Bacteria;Firmicutes_C;Negativicutes;Selenomonadales;Selenomonadaceae;Centipeda;unclassified_Centipeda,AF538861.1.1476
strong,1,JQ469831.1.1349,Saccharimonas_sp018127705,false,Saccharimonas_sp018127705,Root;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Saccharimonadaceae;Saccharimonas;Saccharimonas_sp018127705,JQ469831.1.1349
strong,1,JQ465727.1.1352,unclassified_Veillonella,false,unclassified_Veillonella,Root;Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;unclassified_Veillonella,JQ465727.1.1352
strong,1,JF140904.1.1363,unclassified_Streptococcus,false,unclassified_Streptococcus,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;unclassified_Streptococcus,JF140904.1.1363
strong,1,JQ447706.1.1383,unclassified_Actinomyces,false,unclassified_Actinomyces,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Actinomycetaceae;Actinomyces;unclassified_Actinomyces,JQ447706.1.1383
strong,1,KC121039.1.1433,unclassified_Enterobacteriaceae,false,unclassified_Enterobacteriaceae,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;unclassified_Enterobacteriaceae,KC121039.1.1433
strong,0,JQ467220.1.1402,unclassified_Porphyromonas,false,unclassified_Porphyromonas,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;unclassified_Porphyromonas,JQ467220.1.1402
strong,1,EF511159.1.1419,unclassified_Lactobacillales,false,unclassified_Lactobacillales,Root;Bacteria;Firmicutes;Bacilli;Lactobacillales;unclassified_Lactobacillales,EF511159.1.1419
strong,1,JQ466224.1.1311,Leptotrichia_hofstadii,false,Leptotrichia_hofstadii,Root;Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;Leptotrichia_hofstadii,JQ466224.1.1311
strong,1,GQ010625.1.1348,unclassified_Rothia,false,unclassified_Rothia,Root;Bacteria;Actinobacteriota;Actinomycetia;Actinomycetales;Micrococcaceae;Rothia;unclassified_Rothia,GQ010625.1.1348
strong,1,JQ449973.1.1393,unclassified_Neisseria,false,unclassified_Neisseria,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;unclassified_Neisseria,JQ449973.1.1393
strong,0,FM996957.1.1473,Prevotella_pleuritidis,false,Prevotella_pleuritidis,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Prevotella;Prevotella_pleuritidis,FM996957.1.1473
strong,1,AY953260.1.1527,Capnocytophaga_sputigena,false,Capnocytophaga_sputigena,Root;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Capnocytophaga;Capnocytophaga_sputigena,AY953260.1.1527
strong,1,JQ472032.1.1340,unclassified_Nanoperiomorbus,false,unclassified_Nanoperiomorbus,Root;Bacteria;Patescibacteria;Saccharimonadia;Saccharimonadales;Nanoperiomorbaceae;Nanoperiomorbus;unclassified_Nanoperiomorbus,JQ472032.1.1340
strong,1,JQ463435.1.1396,unclassified_Neisseria,false,unclassified_Neisseria,Root;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Neisseriaceae;Neisseria;unclassified_Neisseria,JQ463435.1.1396
strong,0,HM312822.1.1357,Alloprevotella_sp900095835,false,Alloprevotella_sp900095835,Root;Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Alloprevotella;Alloprevotella_sp900095835,HM312822.1.1357
strong,0,HQ799702.1.1442,unclassified_Lachnoanaerobaculum,false,unclassified_Lachnoanaerobaculum,Root;Bacteria;Firmicutes_A;Clostridia;Lachnospirales;Lachnospiraceae;Lachnoanaerobaculum;unclassified_Lachnoanaerobaculum,HQ799702.1.1442
strong,1,GQ158076.1.1476,unclassified_Veillonella,false,unclassified_Veillonella,Root;Bacteria;Firmicutes_C;Negativicutes;Veillonellales;Veillonellaceae;Veillonella;unclassified_Veillonella,GQ158076.1.1476
